Title,Year,Genre1,Genre2,Genre3
City Lights,1931,Comedy,Drama,Romance
Frankenstein,1931,Drama,Horror,Sci-Fi
Tarzan the Ape Man,1932,Action,Adventure,Romance
The Mummy,1932,Fantasy,Horror,
King Kong,1933,Adventure,Horror,Sci-Fi
Bright Eyes,1934,Comedy,Drama,Family
It Happened One Night,1934,Comedy,Romance,
Captain Blood,1935,Action,Adventure,History
The 39 Steps,1935,Crime,Mystery,Thriller
The Little Colonel,1935,Comedy,Family,Music
The Phantom Empire,1935,Drama,Family,Music
Top Hat,1935,Comedy,Musical,Romance
Hopalong Cassidy Returns,1936,Drama,Western,
The Old Corral,1936,Drama,Music,Western
King Solomon's Mines,1937,Action,Adventure,Family
Lost Horizon,1937,Adventure,Drama,Fantasy
Snow White and the Seven Dwarfs,1937,Animation,Adventure,Family
Rebecca of Sunnybrook Farm,1938,Comedy,Drama,Family
The Adventures of Robin Hood,1938,Animation,Adventure,Romance
The Lone Ranger,1938,Western,,
Destry Rides Again,1939,Comedy,Western,
Gone with the Wind,1939,Drama,Romance,War
Gunga Din,1939,Adventure,Comedy,War
The Hound of the Baskervilles,1939,Crime,Horror,Mystery
The Hunchback of Notre Dame,1939,Drama,Romance,
The Little Princess,1939,Comedy,Drama,Family
The Lone Ranger Rides Again,1939,Western,,
The Wizard of Oz,1939,Adventure,Family,Fantasy
Andy Hardy Meets Debutante,1940,Comedy,Family,Romance
Durango Kid,1940,Drama,Music,Western
Fantasia,1940,Animation,Family,Fantasy
Flash Gordon Conquers the Universe,1940,Action,Adventure,Family
Hi-Yo Silver,1940,Drama,Family,Western
Pinocchio,1940,Animation,Adventure,Comedy
The Blue Bird,1940,Adventure,Family,Fantasy
The Great Dictator,1940,Comedy,Drama,War
The Philadelphia Story,1940,Comedy,Romance,
The Thief of Baghdad,1940,Adventure,Family,Fantasy
Waterloo Bridge,1940,Drama,Romance,War
Blood and Sand,1941,Drama,Romance,Sport
Dumbo,1941,Animation,Adventure,Drama
How Green Was My Valley,1941,Drama,Family,
The Reluctant Dragon,1941,Animation,Comedy,Family
The Wolf Man,1941,Horror,Mystery,Romance
Bambi,1942,Animation,Adventure,Drama
Casablanca,1942,Drama,Romance,War
Don Winslow of the Navy,1942,Action,Adventure,War
Journey for Margaret,1942,Drama,Romance,War
Random Harvest,1942,Drama,Romance,
Wake Island,1942,Action,Drama,War
Yankee Doodle Dandy,1942,Biography,Drama,Family
Bar 20,1943,Drama,Western,
For Whom the Bell Tolls,1943,Adventure,Drama,History
Lassie Come Home,1943,Adventure,Drama,Family
The Song of Bernadette,1943,Biography,Drama,Mystery
Ali Baba and the Forty Thieves,1944,Adventure,Fantasy,Romance
Arsenic and Old Lace,1944,Comedy,Crime,Thriller
Bathing Beauty,1944,Comedy,Musical,
Going My Way,1944,Comedy,Drama,Music
The Big Noise,1944,Action,Adventure,Comedy
Brief Encounter,1945,Drama,Romance,
Mildred Pierce,1945,Crime,Drama,Film-Noir
"Objective, Burma!",1945,Action,Adventure,Drama
Son of Lassie,1945,Adventure,Drama,Family
The Bells of St. Mary’s,1945,Drama,,
The Picture of Dorian Gray,1945,Drama,Fantasy,Horror
The Return of the Durango Kid,1945,Western,,
Duel in the Sun,1946,Drama,Romance,Western
Great Expectations,1946,Adventure,Drama,Mystery
It’s a Wonderful Life,1946,Drama,Family,Fantasy
Night and Day,1946,Biography,Drama,Musical
